City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,mermoz boabab,14.7065,-17.4758,22.31,86,0,5.17,SN,1714965400
243,illizi,26.4833,8.4667,26.73,37,100,7.45,DZ,1714965401
244,coquimbo,-29.9533,-71.3436,14.28,76,0,0.35,CL,1714965137
245,zhaqsy,51.9083,67.3133,6.04,52,1,4.57,KZ,1714965402
246,guercif,34.2257,-3.3536,18.99,54,94,3.75,MA,1714965403
247,krasnyy chikoy,50.3643,108.7512,19.38,35,38,0.82,RU,1714965403
248,fale old settlement,-9.3852,-171.2468,29.52,76,57,2.73,TK,1714965404
249,drayton valley,53.2168,-114.9854,7.53,79,100,5.91,CA,1714965404
250,porto cristo,39.5395,3.333,17.96,82,100,2.79,ES,1714965405
251,amuntai,-2.4177,115.2494,30.65,69,97,0.34,ID,1714965405
252,posto fiscal rolim de moura,-13.0833,-62.2667,24.75,84,6,0.62,BR,1714965245
253,northam,51.0333,-4.2167,9.66,89,93,1.36,GB,1714965406
254,asau,46.4333,26.4,7.82,89,7,2.75,RO,1714965407
255,demba,-5.51,22.2667,19.98,67,24,1.33,CD,1714965407
256,meadow lake,34.8014,-106.5436,23.71,9,100,12.15,US,1714965408
257,nogliki,51.8333,143.1667,1.3,75,33,5.36,RU,1714965408
258,pionerskiy,54.9508,20.2275,12.91,99,100,4.25,RU,1714965409
259,koraput,18.8167,82.7167,32.52,34,4,4.52,IN,1714965409
260,jabat,7.75,168.9751,28.33,79,77,8.42,MH,1714965410
261,illapel,-31.6308,-71.1653,9.72,83,42,0.66,CL,1714965411
262,kolonia town,6.964,158.206,31.06,84,100,5.66,FM,1714965411
263,sirte,31.2089,16.5887,16.43,72,3,2.89,LY,1714965412
264,loppi,60.7167,24.45,2.49,88,29,2.98,FI,1714965412
265,iquique,-20.2208,-70.1431,18.24,84,67,1.78,CL,1714965162
266,moscow,55.7522,37.6156,4.24,67,50,3.15,RU,1714965362
267,victoria,22.2855,114.1577,31.09,82,100,1.79,HK,1714965246
268,narrabri,-30.3167,149.7833,21.96,55,0,3.13,AU,1714965414
269,west bay,19.3667,-81.4167,28.04,83,20,4.63,KY,1714965415
270,berbera,10.4396,45.0143,29.98,77,67,2.71,SO,1714965415
271,tosontsengel,48.7567,98.2839,17.01,23,4,1.41,MN,1714965416
272,st. john's,47.5649,-52.7093,0.08,92,9,0.45,CA,1714965294
273,sibut,5.718,19.0739,24.23,55,19,0.82,CF,1714965417
274,new norfolk,-42.7826,147.0587,16.62,49,29,0.94,AU,1714965417
275,miyazu,35.5333,135.1833,18.49,76,100,8.25,JP,1714965418
276,vila do maio,15.1333,-23.2167,24.44,78,8,6.09,CV,1714965376
277,huicungo,-7.2833,-76.8,23.04,89,38,0.78,PE,1714965418
278,srivardhan,18.0333,73.0167,29.31,73,0,4.12,IN,1714965419
279,ruelle-sur-touvre,45.6833,0.2333,12.37,83,0,2.06,FR,1714965419
280,geraldton,-28.7667,114.6,22.23,49,0,3.6,AU,1714965240
281,beihai,21.4833,109.1,26.0,90,100,2.44,CN,1714965421
282,bechar,31.6167,-2.2167,20.8,12,67,1.21,DZ,1714965421
283,micheweni,-4.9667,39.8333,25.1,90,100,5.6,TZ,1714965422
284,singaraja,-8.112,115.0882,29.99,62,31,2.32,ID,1714965422
285,markovo,57.3206,107.0881,21.02,34,94,6.08,RU,1714965423
286,mount pleasant,32.7941,-79.8626,23.33,91,0,3.09,US,1714965387
287,gillette,44.2911,-105.5022,15.51,70,0,12.35,US,1714965386
288,nova sintra,14.8667,-24.7167,23.5,78,33,8.42,CV,1714965376
289,tympaki,35.0729,24.7685,16.98,75,19,0.89,GR,1714965425
290,mildura,-34.2,142.15,20.6,58,0,4.4,AU,1714965426
291,lorengau,-2.0226,147.2712,29.55,77,100,3.72,PG,1714965427
292,nyurba,63.2842,118.3319,1.41,97,100,1.52,RU,1714965427
293,jiwani,25.05,61.7417,28.56,72,0,6.89,PK,1714965428
294,ta`u,-14.2336,-169.5144,28.85,78,90,4.28,AS,1714965294
295,homer,59.6425,-151.5483,6.93,90,100,4.12,US,1714965429
296,luderitz,-26.6481,15.1594,14.79,72,0,3.2,NA,1714965271
297,an nuhud,12.7,28.4333,26.34,9,9,4.96,SD,1714965430
298,weno,7.4515,151.8468,31.97,70,40,4.12,FM,1714965253
299,santa catalina,9.3337,122.8637,31.58,60,66,3.48,PH,1714965431
